group,run,commit,wasmjit,fastsw,presenter,average_window,samples,game_speed_pct,source_xfb_fps,presentation_fps,unique_visual_fps,final_500ms_p95_interval_ms,lifetime_max_interval_ms,drop_rate_pct,audio_active_pct,software_xfb_last_ms,xfb_decode_average_ms,js_present_ms,js_draw_ms,raw_output
jit-on-fastsw,fastsw-1-trial-1,4f60ddc,1,1,webgpu,postJit,38,89.71,53.79,45.82,10.82,17.2,43.0,0.17,99.49,1.1,1.9,0.22,0.19,.omx/perf-audit/fixed-battle-fastsw/fastsw-1-trial-1
jit-on-fastsw,fastsw-1-trial-6,4f60ddc,1,1,webgpu,postJit,38,93.58,56.32,45.53,10.68,17.8,25.6,0.04,99.49,1.1,1.9,0.21,0.18,.omx/perf-audit/fixed-battle-fastsw/fastsw-1-trial-6
jit-on-fastsw,fastsw-2-trial-2,4f60ddc,1,2,webgpu,postJit,33,55.00,32.97,32.42,18.15,17.7,24.3,0.06,99.49,0.5,1.9,0.23,0.19,.omx/perf-audit/fixed-battle-fastsw/fastsw-2-trial-2
jit-on-fastsw,fastsw-2-trial-5,4f60ddc,1,2,webgpu,postJit,32,54.91,32.88,31.28,17.94,17.0,31.3,0.12,99.49,0.5,1.9,0.21,0.17,.omx/perf-audit/fixed-battle-fastsw/fastsw-2-trial-5
jit-on-fastsw,fastsw-3-trial-3,4f60ddc,1,3,webgpu,postJit,32,53.94,32.44,32.47,17.59,17.7,28.0,0.12,99.49,0.6,1.9,0.23,0.18,.omx/perf-audit/fixed-battle-fastsw/fastsw-3-trial-3
jit-on-fastsw,fastsw-3-trial-4,4f60ddc,1,3,webgpu,postJit,37,80.46,48.35,48.19,24.41,17.5,28.3,0.04,99.49,0.4,1.3,0.20,0.17,.omx/perf-audit/fixed-battle-fastsw/fastsw-3-trial-4
jit-off-fastsw,fastsw-1-trial-1,4f60ddc,0,1,webgpu,post-warmup,25,96.64,57.80,47.84,10.68,18.0,34.0,0.12,99.26,1.1,1.9,0.21,0.18,.omx/perf-audit/fixed-battle-nojit/fastsw-1-trial-1
jit-off-fastsw,fastsw-1-trial-4,4f60ddc,0,1,webgpu,post-warmup,25,95.36,57.40,47.32,10.72,17.7,24.3,0.06,99.26,1.2,1.9,0.18,0.15,.omx/perf-audit/fixed-battle-nojit/fastsw-1-trial-4
jit-off-fastsw,fastsw-2-trial-2,4f60ddc,0,2,webgpu,post-warmup,25,63.60,38.40,35.28,17.32,18.1,28.6,0.08,99.26,0.5,2.0,0.18,0.15,.omx/perf-audit/fixed-battle-nojit/fastsw-2-trial-2
jit-off-fastsw,fastsw-2-trial-3,4f60ddc,0,2,webgpu,post-warmup,25,66.08,39.64,40.36,20.64,16.9,23.6,0.00,99.26,0.5,1.5,0.21,0.17,.omx/perf-audit/fixed-battle-nojit/fastsw-2-trial-3
presenter-control,webgl-trial-1,4f60ddc,0,2,webgl,post-warmup,25,60.64,36.64,36.24,18.20,17.7,23.5,0.00,99.26,0.5,1.8,0.16,0.12,.omx/perf-audit/fixed-battle-presenters/webgl-trial-1
presenter-control,webgl-trial-2,562a7a0,0,2,webgl,post-warmup,25,65.72,39.76,37.28,18.08,18.0,50.4,0.08,97.12,0.3,1.9,0.15,0.11,.omx/perf-audit/fixed-battle-presenters-v2/webgl-trial-2
presenter-control,2d-trial-1,562a7a0,0,2,2d,post-warmup,25,69.32,41.92,38.72,17.76,17.5,22.8,0.00,99.26,0.4,1.8,0.19,0.15,.omx/perf-audit/fixed-battle-presenters-v2/2d-trial-1
presenter-control,2d-trial-3,562a7a0,0,2,2d,post-warmup,25,62.24,37.92,37.20,18.60,17.3,22.6,0.00,95.07,0.5,1.9,0.21,0.17,.omx/perf-audit/fixed-battle-presenters-v2/2d-trial-3
wgpu-classifier,wgpu-route-smoke,562a7a0,0,1,webgpu,post-warmup,17,100.65,60.41,0.00,0.00,0.0,0.9,0.00,0.00,0.0,1.5,0.00,0.00,.omx/perf-audit/wgpu-route-smoke
