record_id,evidence_type,commit,duration_seconds,run_count,arm_or_mode,game_speed_mean_pct,game_speed_min_pct,core_fps_mean,presentation_fps_mean,visual_fps_mean,queue_age_mean_ms,outcome,raw_path
strict-default,single,7189271e7075135a674993841b0c5acc564afd1b,60,1,software-webgpu-jit-on,92.751461,65.048936,55.580707,52.688525,10.557377,0,FAIL,.omx/final-qualification/software-default-current
nojit-soak,single,7189271e7075135a674993841b0c5acc564afd1b,180,1,software-webgpu-jit-off,88.008950,51.344577,52.752402,49.204420,11.000000,0,NON_QUALIFYING,.omx/final-soak/software-nojit-180s
tick-control,confirmation,6fec056e2ad695e30931bcbf78015acc3c8f040c,30,12,queued-tick,99.767863,,59.797793,39.110215,13.575269,12.677897,STATISTICAL_GATE_PASS,.omx/final-confirmation/tick-immediate
tick-immediate,confirmation,6fec056e2ad695e30931bcbf78015acc3c8f040c,30,12,immediate-tick,99.618472,,59.707956,57.680108,13.451613,0,STATISTICAL_GATE_PASS,.omx/final-confirmation/tick-immediate
metrics-on,screening,eb77a2653222422d9b12fd5f6cddc3b8bcb7241b,30,4,metrics-on,96.646189,,57.938948,54.637097,11.137097,0,SCREENING_REJECT,.omx/final-ab/metrics-observer
metrics-off,screening,eb77a2653222422d9b12fd5f6cddc3b8bcb7241b,30,4,metrics-off,96.401307,,57.774682,54.927419,11.032258,,SCREENING_REJECT,.omx/final-ab/metrics-observer
xfb-original-rows,screening,b9726ea88c109fdc63c1facb424e53b2e61cbf12,30,4,xfb-original,98.954903,,59.314491,39.153226,12.830645,,SCREENING_REJECT,.omx/final-ab/xfb-rows
xfb-row-reuse,screening,b9726ea88c109fdc63c1facb424e53b2e61cbf12,30,4,xfb-row-reuse,99.982983,,59.932503,38.701613,13.669355,,SCREENING_REJECT,.omx/final-ab/xfb-rows
xfb-original-decode,screening,58655af00013c2cab708e317f417eaa190e964d3,30,4,xfb-original,97.530570,,58.463315,55.258065,11.080645,0,SCREENING_REJECT,.omx/final-ab/xfb-decode-validated
xfb-identity-decode,screening,58655af00013c2cab708e317f417eaa190e964d3,30,4,xfb-identity-decode,99.221381,,59.464658,57.282258,10.741935,0,SCREENING_REJECT,.omx/final-ab/xfb-decode-validated
xfb-original-both,screening,58655af00013c2cab708e317f417eaa190e964d3,30,4,xfb-original,97.419468,,58.396510,54.862903,11.201613,0,SCREENING_REJECT,.omx/final-ab/xfb-both
xfb-both,screening,58655af00013c2cab708e317f417eaa190e964d3,30,4,row-reuse-plus-identity-decode,99.857775,,59.860206,56.532258,11.225806,0,SCREENING_REJECT,.omx/final-ab/xfb-both
fastsw-full,screening,58655af00013c2cab708e317f417eaa190e964d3,30,4,fastsw-0,100.018410,,59.957804,59.677419,5.903226,0,SCREENING_REJECT,.omx/final-ab/fastsw-full-vs-balanced-validated
fastsw-balanced,screening,58655af00013c2cab708e317f417eaa190e964d3,30,4,fastsw-1,100.118306,,60.026748,58.975806,13.556452,0,SCREENING_REJECT,.omx/final-ab/fastsw-full-vs-balanced-validated
fallback-webgl,single,7189271e7075135a674993841b0c5acc564afd1b,30,1,software-webgl,100.279105,94.737894,60.114664,58.774194,13.451613,0,NON_QUALIFYING,.omx/final-fallback/webgl
fallback-2d,single,7189271e7075135a674993841b0c5acc564afd1b,30,1,software-2d,100.354708,69.210969,60.163717,59.032258,14.000000,0,NON_QUALIFYING,.omx/final-fallback/2d
wgpu-no-listener,single,7189271e7075135a674993841b0c5acc564afd1b,30,1,wgpu-nojitcache-before-fix,100.424839,93.089827,60.193392,60.612903,0,0,FAIL_WAITING_FOR_DRAW,.omx/final-wgpu/classifier
wgpu-cache-channel,single,7189271e7075135a674993841b0c5acc564afd1b,30,1,wgpu-cache-channel-control,64.448494,48.442545,38.628032,0,0,,FAIL_EFB_DRAW_NO_MUTATION,.omx/final-wgpu/classifier-cache-channel
wgpu-fixed-nojitcache,single,58655af00013c2cab708e317f417eaa190e964d3,30,1,wgpu-nojitcache-after-fix,47.621711,39.564148,28.545981,0,0,,FAIL_EFB_DRAW_NO_MUTATION,.omx/final-wgpu/classifier-nojitcache-fixed
